epoch,loss
1,2.6322
2,2.5732
3,2.5695
4,2.5684
5,2.5687
6,2.5680
7,2.5675
8,2.5673
9,2.5675
10,2.5674
11,2.5673
12,2.5671
13,2.5679
14,2.5671
15,2.5671
16,2.5679
17,2.5674
18,2.5672
19,2.5669
20,2.5676
21,2.5675
22,2.5673
23,2.5669
24,2.5670
25,2.5672
26,2.5671
27,2.5670
28,2.5672
29,2.5668
30,2.5678
31,2.5666
32,2.5676
33,2.5670
34,2.5673
35,2.5673
36,2.5673
37,2.5669
38,2.5686
39,2.5671
40,2.5672
41,2.5671
42,2.5673
43,2.5667
44,2.5673
45,2.5668
46,2.5675
47,2.5685
48,2.5667
49,2.5673
50,2.5674
51,2.5670
52,2.5681
53,2.5667
54,2.5668
55,2.5670
56,2.5675
57,2.5671
58,2.5672
59,2.5673
60,2.5679
61,2.5670
62,2.5676
63,2.5675
64,2.5670
65,2.5676
66,2.5673
67,2.5672
68,2.5675
69,2.5675
70,2.5669
71,2.5676
72,2.5674
73,2.5674
74,2.5680
75,2.5675
76,2.5680
77,2.5681
78,2.5675
79,2.5683
80,2.5674
81,2.5684
82,2.5680
83,2.5676
84,2.5680
85,2.5676
86,2.5685
87,2.5674
88,2.5686
89,2.5677
90,2.5686
91,2.5675
92,2.5678
93,2.5687
94,2.5686
95,2.5685
96,2.5686
97,2.5680
98,2.5688
99,2.5690
100,2.5683
