epoch,loss
1,2.5842
2,2.5694
3,2.5680
4,2.5674
5,2.5672
6,2.5670
7,2.5670
8,2.5668
9,2.5667
10,2.5669
11,2.5666
12,2.5691
13,2.5668
14,2.5669
15,2.5670
16,2.5668
17,2.5669
18,2.5667
19,2.5664
20,2.5668
21,2.5665
22,2.5669
23,2.5669
24,2.5667
25,2.5670
26,2.5669
27,2.5674
28,2.5667
29,2.5676
30,2.5675
31,2.5687
32,2.5672
33,2.5667
34,2.5690
35,2.5669
36,2.5670
37,2.5675
38,2.5665
39,2.5673
40,2.5670
41,2.5695
42,2.5669
43,2.5673
44,2.5673
45,2.5670
46,2.5671
47,2.5668
48,2.5672
49,2.5666
50,2.5665
51,2.5669
52,2.5671
53,2.5672
54,2.5679
55,2.5679
56,2.5675
57,2.5670
58,2.5676
59,2.5681
60,2.5711
61,2.5680
62,2.5672
63,2.5712
64,2.5670
65,2.5671
66,2.5677
67,2.5668
68,2.5689
69,2.5674
70,2.5669
71,2.5674
72,2.5669
73,2.5670
74,2.5685
75,2.5683
76,2.5676
77,2.5668
78,2.5669
79,2.5669
80,2.5669
81,2.5667
82,2.5675
83,2.5669
84,2.5665
85,2.5667
86,2.5665
87,2.5666
88,2.5665
89,2.5671
90,2.5665
91,2.5668
92,2.5668
93,2.5681
94,2.5723
95,2.5674
96,2.5669
97,2.5666
98,2.5665
99,2.5666
100,2.5668
