epoch,loss
1,2.5778
2,2.5696
3,2.5688
4,2.5680
5,2.5678
6,2.5675
7,2.5679
8,2.5686
9,2.5673
10,2.5675
11,2.5673
12,2.5667
13,2.5668
14,2.5668
15,2.5695
16,2.5828
17,2.5716
18,2.5701
19,2.5686
20,2.5687
21,2.5676
22,2.5677
23,2.5678
24,2.5711
25,2.5675
26,2.5673
27,2.5672
28,2.5671
29,2.5671
30,2.5668
31,2.5668
32,2.5673
33,2.5666
34,2.5666
35,4.2099
36,2.5676
37,2.5668
38,2.5701
39,2.5665
40,2.5668
41,2.5683
42,2.5664
43,2.5667
44,2.6302
45,2.5672
46,2.5665
47,2.5664
48,2.5667
50,2.5693
51,2.5667
52,2.5660
53,2.5662
54,2.5663
55,2.5673
56,2.5671
57,2.5667
58,2.5667
59,2.5666
60,2.5666
61,2.6886
62,2.5667
63,2.5665
64,2.5664
65,2.5664
66,2.5664
67,2.5662
68,2.5672
69,2.5664
71,2.5679
72,2.5670
73,2.5666
74,2.5662
75,2.5660
76,2.5661
77,2.5663
78,2.6201
79,2.5661
80,2.5664
81,2.5671
82,2.5662
83,2.5661
84,2.7476
85,2.5673
86,2.5663
87,2.5663
88,2.5664
89,2.5674
90,2.5661
91,2.5662
92,2.5665
93,2.5664
94,2.5665
95,2.5660
97,2.5699
98,2.5674
99,2.5662
100,2.5658
